HOLEID,X,Y,Z,Ag ppm,Al ppm,Au ppm,C ppm,Ca ppm,Cl ppm,Cu ppm,F ppm,Fe ppm,K ppm,Mg ppm,Mn ppm,Na ppm,P ppm,Pb ppm,S ppm,Th ppm,U ppm
2,713.8651749999262,-350.72031999751925,89.56,0.89,46700.0,0.24,200.0,11700.0,748.67,5900.0,1310.67,239899.99999999997,6100.0,74700.0,952.0,1200.0,288.67,1.47,2300.0,6.56,2.39
2,711.1551749999635,-356.27031999640167,74.26,0.61,59900.0,0.06,400.0,10800.0,981.37,3700.0,1095.49,189700.0,8800.0,50800.0,1181.1,3100.0,278.24,1.95,1200.0,3.44,1.76
2,708.2451749999309,-362.39031999744475,57.53,0.37,69300.0,0.07,600.0,9400.0,780.19,2500.0,1099.25,202500.0,9600.0,35500.0,1873.58,3600.0,387.17,2.86,1000.0,3.64,3.13
2,705.325174999889,-368.40031999722123,41.03,0.12,54800.00000000001,0.04,400.0,21300.0,1150.96,700.0000000000001,1163.68,180900.0,12400.0,70500.0,1629.0,2800.0000000000005,109.24,1.52,300.0,0.92,0.63
2,701.4051749999635,-376.4903199970722,19.1,0.05,50599.99999999999,0.01,400.0,29800.0,1218.39,300.0,598.39,167000.0,9600.0,81400.0,1550.18,3600.0,43.21,0.98,100.0,0.73,0.42
2,697.2251749999123,-384.48031999729574,-2.19,0.42,52200.0,0.05,200.0,19200.0,1419.14,2100.0,913.54,227000.0,9400.0,55500.0,3350.82,1800.0,339.66,1.6,700.0000000000001,1.43,1.51
3,-304.02482500008773,318.1296800021082,281.09,0.96,72400.0,0.1,400.0,2200.0,2133.11,2300.0,1545.45,134900.0,35000.0,8300.0,2292.14,1800.0,1105.0,4.46,400.0,18.32,5.19
3,-306.424825000111,311.36968000233173,261.04,2.31,57500.0,0.38,1100.0,4900.0,1484.07,6600.0,2391.6,254400.0,11600.0,22200.000000000004,5989.75,1000.0,899.14,5.16,1900.0,8.01,8.79
3,-308.9148250001017,304.69968000240624,241.7,2.07,64800.00000000001,0.2,300.0,3900.0,1361.84,5699.999999999999,2285.76,159900.0,20800.0,12400.0,2037.68,1700.0000000000002,1448.56,7.46,1500.0,18.16,8.31
3,-311.55482500011567,297.72968000359833,222.02,2.74,62100.0,0.27,200.0,4500.0,2244.44,7300.0,2697.78,179700.0,23000.0,11299.999999999998,2420.99,1900.0,1427.72,6.9,1900.0,17.18,9.62
3,-313.37482500006445,293.0796800032258,208.94,0.8,61600.0,0.23,400.0,2100.0,2253.3,1900.0,2194.68,208700.0,12700.0,19200.0,3674.04,700.0000000000001,403.39,3.68,600.0,4.94,5.9
3,-314.71482500003185,289.72968000359833,199.45,3.39,52200.0,2.17,800.0,3600.0,2874.47,9900.0,4129.36,291400.0,15300.0,16900.0,5197.45,300.0,630.21,7.27,3000.0,3.51,14.02
